File name,pragraph,number of words
paragraph_1.txt,"مقدمة
زرع النخيل منذ ما يزيد عن ٥٠٠٠ سنة وتعتبر الدول العربية ومنطقة الشرق الأوسط هى منطقة نشأة النخيل وتنتج ما يقارب 80% من سوق التمر العالمى إلا ان أشجار النخيل حاليا موجود فى معظم قارات العالم. وقد زاد الاهتمام بالاستثمار في زراعة النخيل بمصر مع توجه الدولة في الاهتمام بإدخال أصناف جديدة مطلوبة عالميا مثل البرحي والمجدول وإحلالها محل الأصناف المحلية خاصة المجهولة أو قليلة القيمة وذلك في إطار المبادرة الرئاسية بزراعة ه مليون نخلة من الاصناف المطلوبة في السوق العالمي وعلي رأسها البرحي والمجدول،",86
paragraph_10.txt,"متى تثمر النخلة بعد غرسها؟
ج: تبدأ النخلة في حالة زراعتها كفسيلة في الإثمار بعد العام الثاني ، أي في العام الثالث للزراعة .بينما تمكث شتلات النخيل الناتج من زراعة الأنسجة حوالي 5 سنوات وتثمر في السنة الخامسة .وأحياناً يمكن لبنت الجورة أن تبشر للإثمار في السنة الثانية من الزراعة",50
paragraph_100.txt,"الملخص
تعتبر الزراعة التعاقدية أداة قوية لربط المزارعين بالمشترين في قطاع الأغذية الذي يزداد تنافسا من أي وقت مضى. لا تعتبر الزراعة التعاقدية دواء شافيا للتنمية الريفية، كما أنه لا يوجد تصميم واحد لعقد يحقق الزراعة التعاقدية الناجحة والمستدامة.تعرف الزراعة التعاقدية بأنها اتفاقات إلى الأمام تحدد التزامات المزارعين والمشترين كشركاء في مجال الأعمال التجارية. ومن الناحية القانونية، تنطوي عقود الزراعة على التزام البائع (المزارعون) بتوريد احجام والصفات كما هو محدد، وعلى المشترين (المتعاملين / التجار) الالتزام بإخراج البضائع وتحقيق المدفوعات المتفق عليها. وعلاوة على ذلك، المشترين عادة يقوموا بتقديم خدمات متضمنة.ويظهر نتائج متباينة جدا. بينما تستخدم العقود في الدول المتقدمة النمو على نطاق أوسع مع المزارع الكبيرة، تكتب قصص النجاح في البلدان النامية أيضا مع أصحاب الحيازات الصغيرة في قطاعات المنتجات أو السلع ذات القيمة العالية بالنسبة للصادرات أو في تصنيع المنتجات. ومع ذلك، هناك أيضا قصص نجاح غير موثقة فيما يسمى بالأسواق التقليدية التي تربط صغار المزارعين بالتجار أو المصنعين على مستوى القرية من خلال اتفاقات تعاقدية غير رسمية",160
paragraph_101.txt,تعتبر الظروف الجوية من أهم العوامل التى تساعد على إنتاج محصول جيد لنباتات البطاطس. تحتاج نباتات البطاطس لنموها ظروفاً جوية خاصة، وتعتبر الحرارة والإضاءة من أهم العوامل الجوية التى تلعب دورا فى نمو نباتات البطاطس,35
paragraph_102.txt,الحرارة: تعتبر البطاطس من النباتات التى يناسبها الجو المعتدل فهى لا تتحمل الصقيع ولا تنموجيداً فى الجو شديد البرودة أو الحرارة. تؤثر درجة الحرارة تأثيرا بالغاً على نمو نباتات البطاطس فى المراحل المختلفة من حياتها، حيث يلائم البطاطس درجات حرارة مرتفعة نوعاً (15-25˚م) فى الأطوار الأولى من حياتها لفترة تمتد لنحو ستة أسابيع حتى تظهر النباتات فوق سطح الأرض بسرعة ويزداد عدد الأوراق وسرعة التمثيل الذى قد يصل أقصى حد له عند 18-20˚م. ويلائم النبات فى الأطوار المتقدمة من حياه النبات درجات الحرارة المنخفضة بين 15-18˚م. ويلاحظ أن درجة الحرارة أثناء الليل ذات شأن هام فى تحديد كمية المحصول إذ تكون النباتات درنات إذا كانت درحة الحرارة أثناء الليل 23˚م أو أكثر، وتزداد كمية المحصول بإنخفاض درجة الحرارة أثناء الليل عن 20˚م وتتراوح درجة الحرارة الملائمة أثناء الليل بين 10-40˚م.,130
paragraph_103.txt,الإضاءة: تؤدى زيادة طول النهار إلى زيادة قوة النمو الخضرى وعدد الأوراق ووزن الأوراق والسوق، كما يؤخر من صب الدرنات ويزيد عددها، كما يؤدى زيادة طول النهارالى طول فترة حياة النبات. يحتاج نبات البطاطس فى بداية حياته إلى نهار طويل نسبياً، بينما يحتاج الى نهار قصير نسبياً فى النصف الثانى من حياته أثناء تكوين الدرنات، حيث تعمل الفترة الضوئية القصيرة على تحفيز صب الدرنات وتساعد الحرارة المنخفضة خلال تلك الفترة على زيادة حجم الدرنات وكمية المحصول. يؤدى إرتفاع شدة الإضاءة إلى زيادة كمية المادة الجافة التى تصنعها النباتات نتيجة لزيادة سرعة التمثيل الضوئى وبالتالى زيادة كمية المحصول. ويمكن تحديد مواعيد الزراعة المناسبة لنبات البطاطس فى المناطق لمختلفة بمصر على ضوء الإحتياجات الحرارية ودرجة الحرارة أثناء الليل الملائمة لإنتاج الدرنات .,120
paragraph_104.txt,"تسمح الظروف الجوية فى مصر بزراعة محصول البطاطس على مدى سبعة أشهر متتالية وذلك فى الفترة من منتصف شهر أغسطس حتى منتصف شهر فبراير وذلك فى العروات الصيفية والنيلية (الشتوية) والمحيرة على النحو التالى :
العروة الصيفية :وتزرع إعتباراً من أواخر شهر ديسمبر “فى المساحات المنزرعة مبكراً”، أما معظم مساحات هذه العروة فيتم زراعتها ابتداءاً من يناير وحتى منتصف شهر فبراير، وأفضل ميعاد لزراعتها هو خلال شهر يناير، وتزرع اغلب مساحات هذه العروة بتقاوى معتمدة يتم إستيرادها من الخارج، كما أنه يتم توفير جزء من تقاوى هذه العروة محلياً كتقاوى معتمدة يتم إنتاجها فى بعض المناطق المعزولة الخالية من الإصابات المرضية والحشرية، وينصح بالتبكير إذا كان الغرض من الزراعة فى هذه العروة هى انتاج التقاوى. التأخير فى الزراعة سيؤدى بالضرورة إلى تأخير تقليع المحصول فى وقت ترتفع فيه درجة حرارة الجو خلال الصيف، فيزداد معدل تنفس النبات وفقد المواد الغذائية من الدرنات ومن ثم انخفاض القدرة التخزينية للدرنات وانخفاض المحصول كماً، كما يكون المحصول عرضة للإصابة ببعض الآفات والأمراض النباتية.",160
paragraph_105.txt,"تغطى هذه العروة إحتياجات معظم المزارعين من التقاوى اللازمة لزراعة العروتين النيلية والشتوية (المحيرة)، كما تغطى احتياجات السوق المحلى خلال الفترة من أوائل شهر مايو حتى أواخر شهر أكتوبر ، ويتم تصدير ناتج الزراعات المبكرة إلى بعض أسواق أوربا الغربية من ناتج العروة المبكرة .
العروة النيلية: تعتبر العروة الرئيسية للإنتاج فى مصر من حيث المساحة المنزرعة منها وتزرع المساحات المبكرة إعتباراً من منتصف شهر أغسطس وحتى أواخر شهر أكتوبر وأنسب موعد هو النصف الأول من شهر أكتوبر وتزرع مساحات هذه العروة بتقاوى محلية يتم تدبيرها من محصول العروة السابقة.
تغطى هذه العروة إحتياجات السوق المحلى والتصنيع خلال الفترة من أواخر أكتوبر وحتى نهاية شهر أبريل، كما يخصص جزء منها للتصدير إلى الأسواق الخارجية خلال الفترة من منتصف شهر ديسمبر حتى أواخر شهر أبريل.",124
paragraph_106.txt,"العروة الشتوية (المحيرة): محصول هذه العروة مخصص للتصدير وتزرع بتقاوى معتمدة محلية من ناتج العروة الصيفية السابقة إعتباراً من أواخر شهر أكتوبر وحتى منتصف شهر نوفمبر .تمثل مساحة هذه العروة حوالى 10 % من جملة المساحة المنزرعة سنوياً، وهى عروة جديدة إستحدثتها وزارة الزراعة للبطاطس المخصصة للتصدير خاصة إلى أسواق المملكة المتحدة وبعض الدول الأوربية وتزرع فى محافظات التصدير مثل البحيرة والنوبارية والإسماعيلية والشرقية .
تساهم هذه العروة فى زيادة كميات البطاطس المصدرة إلى أسواق أوربا وذلك خلال شهرى يناير وفبراير ومارس وأبريل .",84
paragraph_107.txt,"الملخص
تعتبر البطاطس من النباتات التي يناسبها الجو المعتدل، فهي قد تتحمل الصقيع الخفيف، ولكنها لا تنمو جيداً في الجو الشديد البرودة أو الشديد الحرارة. لذا فإن هذا المقال يبين تأثير العوامل البيئية الجوية (الحرارة والإضاءة) على نمو وانتاج نباتات البطاطس. كما يوضح المقال تفصيلاً امكانية وسماح الظروف الجوية فى مصر بزراعة محصول البطاطس على مدى سبعة أشهر متتالية وذلك فى الفترة من منتصف شهر أغسطس حتى منتصف شهر فبراير وذلك فى العروات الصيفية والنيلية (الشتوية) والمحيرة.",77
